ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
Paakantyi,Paakantyi,,-32.7021,142.695,darl1243,,Paakantyi
Pakanh,Pakanh,,-15.0908,142.74,paka1251,,Pakanha
Pallanganmiddang,Pallanganmiddang,,-36.08,146.91,pall1243,,Pallanganmiddang
Panyjima,Panyjima,,-22.7816,118.723,pany1241,,Panytyima
Parnkala,Parnkala,,-33.3036,136.079,bang1339,,Banggarla
Payungu,Payungu,,-23.3809,114.108,bayu1240,,Bayungu
Piangil,Piangil,,-34.13829932,143.6694397,west2443,,Western Victoria
Pinjarra,Pinjarra,,-33.1199,118.151,nyun1247,,Nyunga
PintupiLuritja,PintupiLuritja,,-23.2963,130.643,pint1250,,Pintupi-Luritja
Pirriya,Pirriya,,-25.48006595,142.5485119,pirr1240,,Pirriya
Pitjantjatjara,Pitjantjatjara,,-26.9704,131.357,pitj1243,,Pitjantjatjara
PittaPitta,PittaPitta,,,,pitt1246,,Pitta-Pitta
PortMacQuarie,PortMacQuarie,,-33.52925837,150.3490464,sydn1236,,Sydney
Punthamara,Punthamara,,-27.33,143.0,punt1240,,Punthamara
Purduna,Purduna,,-22.9646,114.658,burd1238,,Burduna
PytuReach,PytuReach,,-36.2301,140.158,narr1259,,Narrinyeri
Rirratjingu,Rirratjingu,,,,rirr1238,,Rirratjingu
Ritharrngu,Ritharrngu,,-13.4559,135.259,rita1239,,Ritarungo
RoxburghDowns-LowerGeorgina,RoxburghDowns-LowerGeorgina,,,,,,
SouthernWalmajarri,SouthernWalmajarri,,-19.7229,126.113,walm1241,,Walmajarri
SteeleGDG,SteeleGDG,,-32.4806,152.107,wori1245,,Worimi
THETATIARRACOUNTRY,THETATIARRACOUNTRY,,-34.13829932,143.6694397,west2443,,Western Victoria
Tagalag,Tagalag,,-18.1973276258,142.96122717197,taga1279,,Tagalaka
Tambo,Tambo,,-25.192664,147.273359,bidy1243,,Bidyara
Tenterfield,Tenterfield,,-27.803,153.082,yuga1244,,Yugambal
Thalanyji,Thalanyji,,-22.196,114.937,dhal1245,,Dhalandji
Thanggatti,Thanggatti,,-30.8469,152.602,dyan1250,,Dyangadi
Tharrgari,Tharrgari,,-24.0601,114.847,dhar1247,,Dhargari
Thaynakwith,Thaynakwith,,,,urad1238,,Uradhic
Thurrawal,Thurrawal,,-34.634,150.721,thur1254,,Thurawal
Tjapwurrung,Tjapwurrung,,-34.13829932,143.6694397,west2443,,Western Victoria
TweedRiverandPointDangar,TweedRiverandPointDangar,,-28.3458,152.859,band1339,,Bandjalangic
Umpila,Umpila,,-13.1528,143.467,umpi1239,,Umpila
Umpithamu,Umpithamu,,-13.921,143.328,umbi1243,,Umbindhamu
UpperBrisbaneRiver,UpperBrisbaneRiver,,,,east2717,,Eastern Waka-Kabic
UpperParoo,UpperParoo,,,,,,
Uradhi,Uradhi,,-11.971,143.0879,wuth1237,,Wuthathi
UwOykangand,UwOykangand,,,,oyka1239,,Oykangand
Wadikali,Wadikali,,-29.49049805,140.9591946,yarl1236,,Yarli
Wadjabangayi,Wadjabangayi,,-25.192664,147.273359,bidy1243,,Bidyara
Wailwan,Wailwan,,,,wayi1238,,Wayilwan
Wajarri,Wajarri,,-28.1761,117.153,waja1257,,Wajarri
WakaWaka,WakaWaka,,-26.248,151.868,waka1274,,Wakawaka
Wakaya,Wakaya,,-20.329,137.623,waga1260,,Wagaya
Walangama,Walangama,,-17.60243295,142.4891266,wala1263,,Walangama
WalmajarriBilliluna,WalmajarriBilliluna,,-19.7229,126.113,walm1241,,Walmajarri
WalmajarriHR,WalmajarriHR,,-19.7229,126.113,walm1241,,Walmajarri
WalmajarriNW,WalmajarriNW,,-19.7229,126.113,walm1241,,Walmajarri
Wanamara,Wanamara,,,,,,
Wangkajunga,Wangkajunga,,-20.26868,126.53434,wang1288,,Wangkajunga
Wangkangurru,Wangkangurru,,-25.8148,135.941,wang1290,,Wangganguru
Wangkatja,Wangkatja,,,,wang1300,,Wangkatja-Tjarra
Wangkayutyuru,Wangkayutyuru,,-24.7022,137.433,wang1289,,Wanggamala
Wangkumara,Wangkumara,,-27.10149,143.19619,wong1246,,Wangkumara
WangkumaraMcDWur,WangkumaraMcDWur,,-27.10149,143.19619,wong1246,,Wangkumara
Wardandi,Wardandi,,-33.1199,118.151,nyun1247,,Nyunga
Wargamay,Wargamay,,-18.5468,146.179,warr1255,,Warrgamay
Warlmanpa,Warlmanpa,,-18.949,133.862,warl1255,,Warlmanpa
Warlpiri,Warlpiri,,-20.1008,131.05,warl1254,,Warlpiri
Warluwarra,Warluwarra,,-22.2909,138.738,warl1256,,Warluwara
Warnman,Warnman,,-22.7078,122.325,wanm1242,,Wanman
Warriyangga,Warriyangga,,-24.353,116.927,wari1262,,Wariyangga
Warrnambool,Warrnambool,,-38.155612905976,141.53965852318,warr1257,,Warrnambool
Warumungu,Warumungu,,-20.6479,134.375,waru1265,,Warumungu
Warungu,Warungu,,-18.2496,144.37,waru1264,,Warrongo
Wathawurrung,Wathawurrung,,-37.68777565,144.1013148,wath1238,,Wathawurrung
Wathiwathi,Wathiwathi,,-34.13829932,143.6694397,west2443,,Western Victoria
Watjuk,Watjuk,,-33.1199,118.151,nyun1247,,Nyunga
Wellington,Wellington,,-34.6,140.5,lowe1402,,Lower Riverland
WembaWemba,WembaWemba,,-34.13829932,143.6694397,west2443,,Western Victoria
WesternArrarnta,WesternArrarnta,,-24.05052,133.24621,west2441,,Western Arrarnta
WikMuminh,WikMuminh,,-14.0959,141.625,kuku1283,,Kuku-Muminh
WikMungkan,WikMungkan,,-13.98051,141.81611,wikm1247,,Wik-Mungkan
WikNgatharr,WikNgatharr,,-13.6835,141.557,wika1238,,Wikalkan
Wiradjuri,Wiradjuri,,-34.0742,145.994,wira1262,,Wiradhuri
Wirangu,Wirangu,,-32.0,134.0,wira1265,,Wirangu
Woiwurrung,Woiwurrung,,-37.64264501,145.5879962,woiw1237,,Woiwurrung-Thagungwurrung
Wulguru,Wulguru,,-19.85103121,146.3453957,wulg1239,,Wulguru
YabulaYabula,YabulaYabula,,-35.9,145.01,yort1237,,Yorta Yorta
Yadhaykenu,Yadhaykenu,,-11.314,142.725,yadh1237,,Yadhaykenu
Yagara,Yagara,,-27.87647555,152.4602773,yaga1256,,Yagara-Jandai
Yalarnnga,Yalarnnga,,-21.731,139.511,yala1262,,Yalarnnga
Yambina,Yambina,,,,east2716,,Eastern Maric
Yanda,Yanda,,-21.23270508,140.5134756,yand1251,,Yanda
Yandruwandha,Yandruwandha,,-28.4744,140.583,yand1253,,Yandruwandha
Yangarella,Yangarella,,-16.74,138.023,nyan1300,,Yangkaal
Yangkaal,Yangkaal,,-16.74,138.023,nyan1300,,Yangkaal
Yannhangu,Yannhangu,,-12.0853,134.877,yann1237,,Nhangu
Yanyuwa,Yanyuwa,,-15.7621,136.055,yany1243,,Yanyuwa
Yardliyawarra,Yardliyawarra,,-29.49049805,140.9591946,yarl1236,,Yarli
Yarluyandi,Yarluyandi,,,,dier1240,,Dieric
Yawarrawarrka,Yawarrawarrka,,-26.7334,140.871,yawa1258,,Yawarawarga
Yaygirr,Yaygirr,,-29.686722970453,153.18784362556,yayg1236,,Yaygir
Yidiny,Yidiny,,-17.1332,145.876,yidi1250,,Yidiñ
Yindjibarndi,Yindjibarndi,,-21.5379,117.001,yind1247,,Yindjibarndi
Yindjilandji,Yindjilandji,,-19.24252,137.5894,yind1248,,Yindjilandji
Yingkarta,Yingkarta,,-25.4446,115.58,ying1247,,Yinggarda
Yinhawangka,Yinhawangka,,-22.7816,118.723,pany1241,,Panytyima
Yiningay,Yiningay,,,,sout2765,,Southern Maric
Yinwum,Yinwum,,-12.52068956,142.7036225,yinw1236,,Yinwum
YirYoront,YirYoront,,-15.1117,141.767,yiry1245,,Yir-Yoront
Yirandali,Yirandali,,-20.65810118,143.9625916,yira1239,,Yirandhali
YithaYitha,YithaYitha,,,,yara1253,,Yaraldi-Keramin-Yitha
YortaYorta,YortaYorta,,-35.9,145.01,yort1237,,Yorta Yorta
Yugambeh,Yugambeh,,,,yugu1249,,Yugumbir
Yugarabul,Yugarabul,,-27.87647555,152.4602773,yaga1256,,Yagara-Jandai
Yulparija,Yulparija,,,,yulp1238,,Yulparitja
Yuwaalaraay,Yuwaalaraay,,-29.9037,149.543,gami1243,,Yuwaalaraay-Gamilaraay
Zorc,Zorc,,-12.7825,136.008,dhuw1249,,Dhuwal
